Hospital,Branch / Location,Source Section,Ward / Room Type (Original),Normalised Category,Price (RM),Rate Basis,Notes,Official Source URL,Accessed Date
Prince Court Medical Centre,Kuala Lumpur,Rates,VVIP Suite,Suite,3088.0,Per day,,https://princecourt.com/wards-and-room-rates,2026-07-29
Prince Court Medical Centre,Kuala Lumpur,Rates,Suite,Suite,1388.0,Per day,,https://princecourt.com/wards-and-room-rates,2026-07-29
Prince Court Medical Centre,Kuala Lumpur,Rates,Junior Suite,Maternity suite,628.0,Per day,Official page states this is only available in the maternity ward.,https://princecourt.com/wards-and-room-rates,2026-07-29
Prince Court Medical Centre,Kuala Lumpur,Rates,Single Standard Room,Private single,298.0,Per day,,https://princecourt.com/wards-and-room-rates,2026-07-29
Prince Court Medical Centre,Kuala Lumpur,Rates,ICU / CCU / NICU,Critical / neonatal care,528.0,Per day,Combined rate label on the official page.,https://princecourt.com/wards-and-room-rates,2026-07-29
Prince Court Medical Centre,Kuala Lumpur,Rates,HDU,Critical care,348.0,Per day,,https://princecourt.com/wards-and-room-rates,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Deluxe Suite,Suite,1029.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Junior Suite,Suite,840.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Suite Hibiscus,Suite,2508.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Suite Orchid,Suite,2508.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
Gleneagles Hospital Kuala Lumpur,Kuala Lumpur,Suites,Suite Tulip,Suite,2508.0,Room rate,The official page lists a price for each room type but does not repeat 'per day/night' on each row.,https://gleneagles.com.my/kuala-lumpur/facilities-services/patient-rooms,2026-07-29
