id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hcj-48ed6f4624fb4af7,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 1 katil,Kelas 1 - Bilik 1 katil,ward charge,Malaysian,citizen,,Class 1,Bilik 1 katil,120.0,per day,RM 120,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-e9f73db715e074a9,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 1 katil,Kelas 1 - Bilik 1 katil,ward charge,Non-Malaysian,foreigner,,Class 1,Bilik 1 katil,320.0,per day,RM 320,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-2bb02447c5bd9138,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 2 katil,Kelas 1 - Bilik 2 katil,ward charge,Malaysian,citizen,,Class 1,Bilik 2 katil,90.0,per day,RM 90,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-594531d3d52de837,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 2 katil,Kelas 1 - Bilik 2 katil,ward charge,Non-Malaysian,foreigner,,Class 1,Bilik 2 katil,240.0,per day,RM 240,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-957b7a484ab3184e,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 3 katil atau lebih,Kelas 1 - Bilik 3 katil atau lebih,ward charge,Malaysian,citizen,,Class 1,Bilik 3 katil atau lebih,60.0,per day,RM 60,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-82fe3ec3e683e1d9,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 1 - Bilik 3 katil atau lebih,Kelas 1 - Bilik 3 katil atau lebih,ward charge,Non-Malaysian,foreigner,,Class 1,Bilik 3 katil atau lebih,200.0,per day,RM 200,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-cdec018b970084fd,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 2 - Kelas 2,Kelas 2 - Kelas 2,ward charge,Malaysian,citizen,,Class 2,Kelas 2,40.0,per day,RM 40,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-4291ba9c8d4e2666,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 2 - Kelas 2,Kelas 2 - Kelas 2,ward charge,Non-Malaysian,foreigner,,Class 2,Kelas 2,180.0,per day,RM 180,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-4a4b3e787f54d22f,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 3 - Kelas 3,Kelas 3 - Kelas 3,ward charge,Malaysian,citizen,,Class 3,Kelas 3,3.0,per day,RM 3,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
hcj-0e0fdf563e40ca72,hospital,HCJ,HCJ,Hospital Cyberjaya,Selangor,Ward Charges,Kelas 3 - Kelas 3,Kelas 3 - Kelas 3,ward charge,Non-Malaysian,foreigner,,Class 3,Kelas 3,160.0,per day,RM 160,,Hospital Cyberjaya Official Website,https://jknselangor.moh.gov.my/hcj/index.php/awam/caj-hospital,2026-07-10,2026-08-25T14:22:02.149073+00:00
