category,service_name,patient_class,charge_type,price_rm,source_url
ward charges,One bedded room,all,first class,90.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Two bedded room,all,first class,60.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Three bedded room or more,all,first class,45.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Second Class,all,ward charges - non air conditioned,25.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Third Class,all,ward charges - non air conditioned,3.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,One bedded room,all,third class,120.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Two bedded room,all,third class,90.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Three bedded room or more,all,third class,60.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Second Class,all,ward charges - air conditioned,40.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,One bedded room (VIP),all,third class,225.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,One bedded room,all,third class,180.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Two bedded room,all,third class,150.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,First Class,all,ward charges - air conditioned,15.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Second Class,all,ward charges - air conditioned,10.0,https://hkl.moh.gov.my/en/public/hospital-charges
ward charges,Second Class,all,ward charges - air conditioned,5.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Psikiatrik,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Fisioterapi,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Radioterapi & Onkologi,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Nefrologi,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Occuterapi,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Occuterapi2,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Linguatherapy,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Dietetik,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Tradisi,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
common public hospital charges,Siasatan Radio,all,listed_service,0.0,https://hkl.moh.gov.my/en/public/hospital-charges
