id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hkl-051817985ea0e88e,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,One bedded room,One bedded room,first class,All,all,,,,90.0,,RM 90,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-200a5b820703506c,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Two bedded room,Two bedded room,first class,All,all,,,,60.0,,RM 60,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-707c003d3db922f4,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Three bedded room or more,Three bedded room or more,first class,All,all,,,,45.0,,RM 45,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-3f3238598c15f68b,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Second Class,Second Class,ward charges - non air conditioned,All,all,,,,25.0,,RM 25,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-48861b04674977a8,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Third Class,Third Class,ward charges - non air conditioned,All,all,,,,3.0,,RM 3,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-ba4fa849223f217f,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,One bedded room,One bedded room,third class,All,all,,,,120.0,,RM 120,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-e4b83b2b0b454b37,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Two bedded room,Two bedded room,third class,All,all,,,,90.0,,RM 90,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-3572c24222209471,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Three bedded room or more,Three bedded room or more,third class,All,all,,,,60.0,,RM 60,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-69974170d8c836ba,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Second Class,Second Class,ward charges - air conditioned,All,all,,,,40.0,,RM 40,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-0c1a53f72a30401b,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,One bedded room (VIP),One bedded room (VIP),third class,All,all,,,,225.0,,RM 225,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-18c821ef50c390c4,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,One bedded room,One bedded room,third class,All,all,,,,180.0,,RM 180,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-3294f15b8eca397f,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Two bedded room,Two bedded room,third class,All,all,,,,150.0,,RM 150,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-b947e521493cebeb,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,First Class,First Class,ward charges - air conditioned,All,all,,,,15.0,,RM 15,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-2a7229963ab12301,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Second Class,Second Class,ward charges - air conditioned,All,all,,,,10.0,,RM 10,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
hkl-8c76896715a8e95d,hospital,HKL,HKL,Hospital Kuala Lumpur,Kuala Lumpur,Ward Charges,Second Class,Second Class,ward charges - air conditioned,All,all,,,,5.0,,RM 5,,Hospital Kuala Lumpur Official Website,https://hkl.moh.gov.my/awam/caj-hospital,,2026-08-25T14:22:02.087736+00:00
