id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hpsf-a48996567b10c6c4,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Malaysian,citizen,,Class 1,,1050.0,deposit,"RM 1,050",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-0c34699c8a02d9ba,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Malaysian,citizen,,Class 2,,200.0,deposit,RM 200,,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-97090e4e0d04e482,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Malaysian,citizen,,Class 3,,20.0,deposit,RM 20,,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-8ff97e520c76e065,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Non-Malaysian,foreigner,,Class 1,,7000.0,deposit,"RM 7,000",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-a989fe07807c7705,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Non-Malaysian,foreigner,,Class 2,,3000.0,deposit,"RM 3,000",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-77ebdd7bb0f34fc2,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Medicine,Medicine,ward admission deposit,Non-Malaysian,foreigner,,Class 3,,1400.0,deposit,"RM 1,400",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-0ff9b49efe7d9889,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Surgery,Surgery,ward admission deposit,Malaysian,citizen,,Class 1,,1650.0,deposit,"RM 1,650",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-15fc417004316184,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Surgery,Surgery,ward admission deposit,Malaysian,citizen,,Class 2,,400.0,deposit,RM 400,,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-d9d5dae7fe9afaba,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Surgery,Surgery,ward admission deposit,Malaysian,citizen,,Class 3,,30.0,deposit,RM 30,,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-a54bb044e4cab91b,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Surgery,Surgery,ward admission deposit,Non-Malaysian,foreigner,,Class 1,,11000.0,deposit,"RM 11,000",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
hpsf-f15e386e54532462,hospital,HPSF,HPSF,"Hospital Pakar Sultanah Fatimah, Muar",Johor,Ward Deposit,Surgery,Surgery,ward admission deposit,Non-Malaysian,foreigner,,Class 2,,5000.0,deposit,"RM 5,000",,Hospital Pakar Sultanah Fatimah Official Website,https://jknjohor.moh.gov.my/hpsf/caj-bayaran/,2024-04-17,2026-08-25T14:22:02.393864+00:00
