id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hrc-0e69884cc30fda01,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Deposit,Class 1,Class 1,ward admission deposit,Malaysian,citizen,,Class 1,,700.0,deposit,RM700,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-d453ef25d6fd7949,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Deposit,Class 3,Class 3,ward admission deposit,Malaysian,citizen,,Class 3,,20.0,deposit,RM20,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-853eee93c7756cfc,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Deposit,Class 1,Class 1,ward admission deposit,Non-Malaysian,foreigner,,Class 1,,2100.0,deposit,RM2100,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-9e7eb618bba23cdf,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Deposit,Class 3,Class 3,ward admission deposit,Non-Malaysian,foreigner,,Class 3,,600.0,deposit,RM600,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-a5a3fb4827429ebd,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 1 (single room),Class 1 (single room),ward charge,Malaysian,citizen,,Class 1,Class 1 (single room),120.0,,RM120,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-18fe91b4f64fa6fb,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 1 (double room),Class 1 (double room),ward charge,Malaysian,citizen,,Class 1,Class 1 (double room),90.0,,RM90,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-93a2530045972a97,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 3,Class 3,ward charge,Malaysian,citizen,,Class 3,Class 3,0.0,,Percuma,Published as free on the official source.,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-faaa8b12e3c8d1ca,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 1 (single room),Class 1 (single room),ward charge,Non-Malaysian,foreigner,,Class 1,Class 1 (single room),120.0,,RM120,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-aa51b939a59196ae,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 1 (double room),Class 1 (double room),ward charge,Non-Malaysian,foreigner,,Class 1,Class 1 (double room),120.0,,RM120,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
hrc-f856d65ba0aa0e6d,hospital,HRC,HRC,Hospital Rehabilitasi Cheras,Kuala Lumpur,Ward Charges,Class 3,Class 3,ward charge,Non-Malaysian,foreigner,,Class 3,Class 3,120.0,,RM120,,Hospital Rehabilitasi Cheras Official Website,https://jknkl.moh.gov.my/hrc/ward-and-treatment-charges/,2026-08-25,2026-08-25T14:22:02.091742+00:00
