id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
hsb-e3a3d8f9095f324e,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan) - first consultation,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan),specialist clinic consultation,Malaysian,citizen,first consultation,,,0.0,per visit,Temujanji Pertama : PERCUMA Temujanji seterusnya: RM5 (Termasuk siasatan),,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-d6e80f1da18d8ad5,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan) - subsequent visit,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan),specialist clinic consultation,Malaysian,citizen,subsequent visit,,,5.0,per visit,Temujanji Pertama : PERCUMA Temujanji seterusnya: RM5 (Termasuk siasatan),,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-a709f0887685ae68,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan) - first consultation,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan),specialist clinic consultation,Non-Malaysian,foreigner,first consultation,,,120.0,per visit,"Temujanji Pertama dan seterusnya: RM120 (Tidak termasuk caj siasatan, caj rawatan, caj ujian makmal dan caj implan / protesis)",,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-5db244e21d72ff7d,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan) - first consultation,Hospital / Klinik Kerajaan (Pegawai Perubatan Kerajaan),specialist clinic consultation,Non-Malaysian (UNHCR),unhcr,first consultation,,,60.0,per visit,"Temujanji Pertama dan seterusnya: RM60 (Tidak termasuk caj siasatan, caj rawatan, caj ujian makmal dan caj implan / protesis)",,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-a76b1532c9c49bf2,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian) - first consultation,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian),specialist clinic consultation,Malaysian,citizen,first consultation,,,30.0,per visit,Temujanji Pertama : RM30 Temujanji seterusnya: RM5 (Tidak termasuk siasatan - caj siasatan dan rawatan adalah mengikut kadar kelas satu),,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-3d052ceb98d1a6b0,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian) - subsequent visit,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian),specialist clinic consultation,Malaysian,citizen,subsequent visit,,,5.0,per visit,Temujanji Pertama : RM30 Temujanji seterusnya: RM5 (Tidak termasuk siasatan - caj siasatan dan rawatan adalah mengikut kadar kelas satu),,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-1c2b1fc87b6ed3c2,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian) - first consultation,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian),specialist clinic consultation,Non-Malaysian,foreigner,first consultation,,,120.0,per visit,"Temujanji Pertama dan seterusnya: RM120 (Tidak termasuk caj siasatan, caj rawatan, caj ujian makmal dan caj implan / protesis)",,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-806f7e9076b6f36e,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian) - first consultation,Hospital / Klinik Swasta (Pegawai Perubatan Persendirian),specialist clinic consultation,Non-Malaysian (UNHCR),unhcr,first consultation,,,60.0,per visit,"Temujanji Pertama dan seterusnya: RM60 (Tidak termasuk caj siasatan, caj rawatan, caj ujian makmal dan caj implan / protesis)",,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-c333376f6931afe1,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Kes-Kes ulangan yang keluar dari wad - subsequent visit,Kes-Kes ulangan yang keluar dari wad,specialist clinic consultation,Malaysian,citizen,subsequent visit,,,5.0,per visit,RM5 bagi setiap ulangan (Termasuk siasatan),,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
hsb-27d56b71ef572b80,hospital,HSB,HSB,Hospital Sungai Buloh,Selangor,Specialist Clinic,Kes-Kes ulangan yang keluar dari wad - first consultation,Kes-Kes ulangan yang keluar dari wad,specialist clinic consultation,Non-Malaysian,foreigner,first consultation,,,120.0,per visit,"Temujanji Pertama dan seterusnya: RM120 (Tidak termasuk caj siasatan, caj rawatan, caj ujian makmal dan caj implan / protesis)",,Hospital Sungai Buloh Official Website,https://jknselangor.moh.gov.my/hsgbuloh/index.php/ms/component/content/article/86?Itemid=134,2026-08-17,2026-08-25T14:22:02.279748+00:00
