id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
moh_treatment-2eeb808cd889f26c,national_reference,MOH_TREATMENT,,,National,Inpatient Treatment,Daily inpatient treatment,Kelas Satu,inpatient treatment charge,Malaysian,citizen,Inpatient,Class 1,,15.0,per day,RM15,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-f7011523658061cc,national_reference,MOH_TREATMENT,,,National,Inpatient Treatment,Daily inpatient treatment,Kelas Dua,inpatient treatment charge,Malaysian,citizen,Inpatient,Class 2,,5.0,per day,RM5,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-e6695620811be896,national_reference,MOH_TREATMENT,,,National,Inpatient Treatment,Daily inpatient treatment,Kelas Tiga,inpatient treatment charge,Malaysian,citizen,Inpatient,Class 3,,0.0,per day,Percuma,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-292e51edf2d18da1,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Pembedahan Caesarean,Pembedahan Caesarean,delivery charge,Malaysian,citizen,Inpatient,Class 1,,1200.0,,"RM1,200",,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-9846886ce4afafbd,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Pembedahan Caesarean,Pembedahan Caesarean,delivery charge,Malaysian,citizen,Inpatient,Class 2,,400.0,,RM400,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-1ddce13f606cb391,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Pembedahan Caesarean,Pembedahan Caesarean,delivery charge,Malaysian,citizen,Inpatient,Class 3,,100.0,,RM100,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-3c53ac8200e93f3e,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin dengan bantuan: Forcep/songsang/vakum,Bersalin dengan bantuan: Forcep/songsang/vakum,delivery charge,Malaysian,citizen,Inpatient,Class 1,,600.0,,RM600,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-52b82de18e4a77a0,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin dengan bantuan: Forcep/songsang/vakum,Bersalin dengan bantuan: Forcep/songsang/vakum,delivery charge,Malaysian,citizen,Inpatient,Class 2,,200.0,,RM200,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-b5aa0a597d70d93c,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin dengan bantuan: Forcep/songsang/vakum,Bersalin dengan bantuan: Forcep/songsang/vakum,delivery charge,Malaysian,citizen,Inpatient,Class 3,,50.0,,RM50,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-a94d92c331a36c1a,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin kembar,Bersalin kembar,delivery charge,Malaysian,citizen,Inpatient,Class 1,,600.0,,RM600,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-a93e3587ec875809,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin kembar,Bersalin kembar,delivery charge,Malaysian,citizen,Inpatient,Class 2,,200.0,,RM200,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-b3c2a4d47ade2394,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin kembar,Bersalin kembar,delivery charge,Malaysian,citizen,Inpatient,Class 3,,50.0,,RM50,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-d89b176de8a84619,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin Biasa,Bersalin Biasa,delivery charge,Malaysian,citizen,Inpatient,Class 1,,450.0,,RM450,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
moh_treatment-724e62b966fc23d1,national_reference,MOH_TREATMENT,,,National,Delivery / Maternity,Bersalin Biasa,Bersalin Biasa,delivery charge,Malaysian,citizen,Inpatient,Class 2,,150.0,,RM150,,Ministry of Health Malaysia – Caj Rawatan,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-rawatan,2025-09-23,2026-08-25T14:22:02.410314+00:00
