id,source_type,source_code,hospital_code,hospital_name,state,category,service_name,original_service_name,charge_type,citizenship,patient_class,patient_type,ward_class,room_type,price_rm,price_unit,original_price_text,notes,source_name,source_url,source_updated_at,scraped_at
moh_ward-ae6fb307f3300b50,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan satu katil - Tidak Berhawa Dingin,Bilik dengan satu katil - Tidak Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan satu katil - Tidak Berhawa Dingin,90.0,per day,RM90,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-408fa4a2d911770d,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan satu katil - Berhawa Dingin,Bilik dengan satu katil - Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan satu katil - Berhawa Dingin,120.0,per day,RM120,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-74b6c8b67c326007,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan dua katil - Tidak Berhawa Dingin,Bilik dengan dua katil - Tidak Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan dua katil - Tidak Berhawa Dingin,60.0,per day,RM60,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-c92f172adbbb3cbb,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan dua katil - Berhawa Dingin,Bilik dengan dua katil - Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan dua katil - Berhawa Dingin,90.0,per day,RM90,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-70aebfb43d6b8e25,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan tiga katil atau lebih - Tidak Berhawa Dingin,Bilik dengan tiga katil atau lebih - Tidak Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan tiga katil atau lebih - Tidak Berhawa Dingin,45.0,per day,RM45,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-6ac25680972bb378,national_reference,MOH_WARD,,,National,Ward Charges,Bilik dengan tiga katil atau lebih - Berhawa Dingin,Bilik dengan tiga katil atau lebih - Berhawa Dingin,ward charge,Malaysian,citizen,,Class 1,Bilik dengan tiga katil atau lebih - Berhawa Dingin,60.0,per day,RM60,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-88a8427d26d94986,national_reference,MOH_WARD,,,National,Ward Charges,Kelas Dua - Tidak Berhawa Dingin,Kelas Dua - Tidak Berhawa Dingin,ward charge,Malaysian,citizen,,Class 2,Kelas Dua - Tidak Berhawa Dingin,25.0,per day,RM25,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-1035db3e474b3cea,national_reference,MOH_WARD,,,National,Ward Charges,Kelas Dua - Berhawa Dingin,Kelas Dua - Berhawa Dingin,ward charge,Malaysian,citizen,,Class 2,Kelas Dua - Berhawa Dingin,40.0,per day,RM40,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-00c6fb499386cad4,national_reference,MOH_WARD,,,National,Ward Charges,Kelas Tiga - Tidak Berhawa Dingin,Kelas Tiga - Tidak Berhawa Dingin,ward charge,Malaysian,citizen,,Class 3,Kelas Tiga - Tidak Berhawa Dingin,3.0,per day,RM3,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-c97846a8a3491aa9,national_reference,MOH_WARD,,,National,Ward Charges,Kelas Tiga - Berhawa Dingin,Kelas Tiga - Berhawa Dingin,ward charge,Malaysian,citizen,,Class 3,Kelas Tiga - Berhawa Dingin,3.0,per day,RM3,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-2be0424e2e2159d2,national_reference,MOH_WARD,,,National,Ward Charges,Bilik Bersalin (setiap kemasukan),Bilik Bersalin (setiap kemasukan),facility admission charge,Malaysian,citizen,,Class 1,,120.0,per admission,RM120 (Kelas Satu Sahaja),,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-bce25df91d69671e,national_reference,MOH_WARD,,,National,Ward Charges,Dewan Bedah (setiap kemasukan),Dewan Bedah (setiap kemasukan),facility admission charge,Malaysian,citizen,,Class 1,,120.0,per admission,RM120 (Kelas Satu Sahaja),,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-ca0a7c1e4b74eb63,national_reference,MOH_WARD,,,National,Ward Charges,Psychiatric ward - Kelas Satu,Psychiatric ward - Kelas Satu,ward charge,Malaysian,citizen,,Class 1,,15.0,per day,15,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-48a164cf304cff74,national_reference,MOH_WARD,,,National,Ward Charges,Psychiatric ward - Kelas Dua,Psychiatric ward - Kelas Dua,ward charge,Malaysian,citizen,,Class 2,,10.0,per day,10,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-a4b3b130d7dab735,national_reference,MOH_WARD,,,National,Ward Charges,Psychiatric ward - Kelas Tiga,Psychiatric ward - Kelas Tiga,ward charge,Malaysian,citizen,,Class 3,,0.0,per day,Percuma,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-7b6a90cf95736b52,national_reference,MOH_WARD,,,National,Ward Charges,Executive ward - Bilik dengan satu katil (Orang Kenamaan),Executive ward - Bilik dengan satu katil (Orang Kenamaan),ward charge,Malaysian,citizen,,,Bilik dengan satu katil (Orang Kenamaan),225.0,per day,225,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-852e03929e7537c3,national_reference,MOH_WARD,,,National,Ward Charges,Executive ward - Bilik dengan satu katil,Executive ward - Bilik dengan satu katil,ward charge,Malaysian,citizen,,,Bilik dengan satu katil,180.0,per day,180,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
moh_ward-567fb2321778bf59,national_reference,MOH_WARD,,,National,Ward Charges,Executive ward - Bilik dengan dua katil,Executive ward - Bilik dengan dua katil,ward charge,Malaysian,citizen,,,Bilik dengan dua katil,150.0,per day,150,,Ministry of Health Malaysia – Caj Wad,https://www.moh.gov.my/teras/info-kesihatan/kadar-perkhidmatan/caj-wad,2025-09-23,2026-08-25T14:22:02.405799+00:00
