procedure_code,body_system,procedure_name,care_setting,segmentation_type,segment,typical_bill_amount_rm,typical_bill_p25_rm,typical_bill_p75_rm,average_los_days,los_description,number_of_discharges_band,data_status,source_pdf_page,source_url
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Overall,All,11700,8800,18300,2.0,,">= 5,000",Published,15,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Johor,13400,10000,18900,,,500 - 999,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Kedah,11500,9300,16900,,,100 - 499,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Kelantan,16500,13200,21400,,,50 - 99,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Kuala Lumpur,11600,9000,19300,,,"1,000 - 4,999",Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Melaka,11000,8300,19300,,,500 - 999,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Negeri Sembilan,14000,11100,21700,,,100 - 499,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Pahang,13600,9500,22300,,,50 - 99,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Perak,10400,8000,16100,,,500 - 999,Published,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
C1,Circulatory,Angiogram (Coronary Arteriography & Catheterisation),Inpatient,Facility State,Perlis,,,,,,,Insufficient credible data,16,https://www.liam.org.my/library/healthcare/Price-Ranges-Common-Private-Healthcare-Services-Msia_27Jan2026.pdf
