feature,r2_decrease_mean,r2_decrease_std,repeats,sample_rows,baseline_sample_r2,split,estimator
length_of_stay_days,0.2603230672039128,0.01625797424220155,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
ward_type,0.23611321154906317,0.02751270584748522,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
surgery,0.060841386758354196,0.01929112996946493,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
ailment_nature,0.05728620569843559,0.0029310921700079007,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
medical_institution_type,0.05430539160067516,0.024737531699454994,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
chronic_ailment,0.014780591029294942,0.005366706890560891,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
gender,0.002563151587635648,0.01709445975413992,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
number_of_hospitalisations,0.0018135891268753258,0.007860065447993482,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
pregnant,0.0006462913163378881,0.00021782442025399616,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
age_years,0.00031607997016414036,0.007942937865410359,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
communicable_disease,0.0001548865574543923,0.0006145324004419415,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
hospitalisation_treatment_nature,7.97946068072708e-05,0.0001697150580191215,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
medicine,0.0,0.0,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
other_ailment_last_15_days,-0.00039889119213611937,0.00023704697595400845,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
place_of_hospitalisation,-0.02750257864487813,0.0046418031819267505,5,4000,0.37410136652305903,inner_validation,selection_stage_before_full_refit
