subgroup_feature,subgroup_value,model,episodes,mae,rmse,r2,median_absolute_error,rmsle
medical_institution_type,"Charitable, trust or NGO-run hospital",Compact model,504,23410.44516308667,68649.96015389552,0.2820875805016596,7544.050515751312,3.762745595197522
medical_institution_type,"Charitable, trust or NGO-run hospital",New practical model,504,23846.263832430344,71724.43645880277,0.216344516588714,7962.168364377891,3.8056944763343195
medical_institution_type,Government or public hospital,Compact model,11120,5919.893950944284,23280.85809382982,0.0291865525215933,2039.217132096262,4.540630260230275
medical_institution_type,Government or public hospital,New practical model,11120,5915.8490174848475,22795.194315739802,0.06926849807460689,2068.006594073759,4.5860376089387325
medical_institution_type,Private hospital,Compact model,11653,31465.190857251637,75360.84366487917,0.36950080694219345,13386.258351110613,1.4151622617928912
medical_institution_type,Private hospital,New practical model,11653,32502.92424489731,76928.02864028291,0.34300473698456124,13660.936274359934,1.4280652366727846
ward_type,Free ward,Compact model,11318,5180.096405085932,18052.40463157993,0.056632388521158705,2068.7766026409827,4.714270441843417
ward_type,Free ward,New practical model,11318,5198.043127102586,18043.891050603914,0.057521970035280034,2071.588691606711,4.7587999603900295
ward_type,Paying general ward,Compact model,9194,26439.867876993707,64828.35111601308,0.2706892009355766,12243.42956565881,0.8269606041963438
ward_type,Paying general ward,New practical model,9194,27017.2611857731,65343.59793797563,0.25905020752454266,12402.130529470896,0.8501467609518637
ward_type,Paying special ward,Compact model,2765,51564.36809490298,108005.89784142876,0.3841982619662224,21932.384216489154,0.8322355262938367
ward_type,Paying special ward,New practical model,2765,54007.66105505237,111525.91441185767,0.34340502785734295,22993.597557838802,0.8468512331805098
